sensorId,facilityId,metric,value,unit,timestamp,anomaly
SEN-028,FAC-006,turbidity_ntu,0.1,NTU,2026-01-11T16:18:26.695839,False
SEN-045,FAC-010,ph,7.06,pH,2025-12-24T00:57:32.300157,False
SEN-057,FAC-012,pressure_bar,4.78,bar,2025-12-01T23:32:57.377052,False
SEN-013,FAC-003,dissolved_o2,10.94,mg/L,2026-02-15T16:49:26.403283,False
SEN-079,FAC-017,chlorine_mg_l,1.5,mg/L,2026-02-20T17:07:15.306694,False
SEN-012,FAC-002,dissolved_o2,9.7,mg/L,2025-10-27T08:31:24.371550,False
SEN-090,FAC-019,ph,7.52,pH,2026-01-13T13:56:37.362422,False
SEN-098,FAC-020,turbidity_ntu,1.57,NTU,2025-11-22T06:39:47.593952,False
SEN-088,FAC-019,chlorine_mg_l,1.76,mg/L,2025-10-15T05:15:19.193919,False
SEN-065,FAC-014,ph,7.18,pH,2025-11-11T17:32:13.714555,False
SEN-070,FAC-015,turbidity_ntu,1.27,NTU,2026-02-12T15:08:51.043573,False
SEN-031,FAC-007,conductivity_us,659.49,µS/cm,2025-10-08T16:11:50.840480,False
SEN-030,FAC-007,pressure_bar,2.9,bar,2025-10-31T10:53:28.024348,False
SEN-021,FAC-005,chlorine_mg_l,0.98,mg/L,2025-10-29T14:49:20.959383,False
SEN-086,FAC-018,conductivity_us,567.42,µS/cm,2025-11-16T06:03:57.972608,False
SEN-058,FAC-012,ph,8.01,pH,2026-02-20T16:24:08.293548,False
SEN-047,FAC-010,flow_rate_m3h,270.65,m³/h,2026-01-27T23:32:26.896795,False
SEN-075,FAC-016,temperature_c,18.08,°C,2025-10-14T20:33:45.534642,False
SEN-019,FAC-004,dissolved_o2,10.35,mg/L,2025-10-09T22:51:26.066443,False
SEN-054,FAC-012,dissolved_o2,8.32,mg/L,2026-02-14T02:00:10.629125,False
SEN-041,FAC-009,chlorine_mg_l,1.93,mg/L,2025-11-01T13:10:38.520697,False
SEN-057,FAC-012,pressure_bar,4.74,bar,2025-12-18T13:51:55.988904,False
SEN-069,FAC-015,dissolved_o2,4.16,mg/L,2025-10-26T11:59:40.310648,False
SEN-047,FAC-010,flow_rate_m3h,170.84,m³/h,2025-12-29T16:44:44.606725,False
SEN-084,FAC-018,dissolved_o2,7.16,mg/L,2026-02-17T22:28:15.374065,False
SEN-086,FAC-018,conductivity_us,325.6,µS/cm,2025-11-29T11:51:09.157160,False
SEN-032,FAC-007,temperature_c,25.25,°C,2025-10-16T11:15:36.332364,True
SEN-021,FAC-005,chlorine_mg_l,1.94,mg/L,2025-10-23T20:05:45.460661,False
SEN-002,FAC-001,conductivity_us,324.49,µS/cm,2026-02-11T13:58:50.291823,False
SEN-040,FAC-009,temperature_c,15.31,°C,2026-01-30T11:47:18.783029,False
SEN-086,FAC-018,conductivity_us,542.58,µS/cm,2026-01-03T18:04:42.073253,False
SEN-056,FAC-012,conductivity_us,343.73,µS/cm,2026-02-05T23:38:25.950322,False
SEN-091,FAC-019,turbidity_ntu,3.99,NTU,2025-10-06T04:26:59.800815,False
SEN-013,FAC-003,dissolved_o2,11.61,mg/L,2025-10-15T16:31:00.335688,False
